learning rate: 0.002
momentum: 0.9
batch size: 64
train Loss: 0.034077610820531845 	Acc: 0.1849
train Loss: 0.014060629531741142 	Acc: 0.6958
val Loss: 0.009876327589154243 	Acc: 0.7884

train Loss: 0.01387006789445877 	Acc: 0.7004
val Loss: 0.009879841469228268 	Acc: 0.7866

train Loss: 0.013696165755391121 	Acc: 0.70498
val Loss: 0.009874483570456505 	Acc: 0.7863

train Loss: 0.013596594333648682 	Acc: 0.70848
val Loss: 0.009863014332950115 	Acc: 0.7864

train Loss: 0.013282795436680317 	Acc: 0.712
val Loss: 0.009799673222005367 	Acc: 0.7871

train Loss: 0.013130145147442818 	Acc: 0.71666
val Loss: 0.009558185935020447 	Acc: 0.7923

train Loss: 0.0130146574229002 	Acc: 0.71818
val Loss: 0.00941839162260294 	Acc: 0.7945

train Loss: 0.012913140468299389 	Acc: 0.72156
val Loss: 0.009312803857028484 	Acc: 0.7953

train Loss: 0.01291160099208355 	Acc: 0.72082
val Loss: 0.009480818174779415 	Acc: 0.7924

train Loss: 0.012741499580442905 	Acc: 0.72724
val Loss: 0.009333200752735138 	Acc: 0.7986

train Loss: 0.012614571489393711 	Acc: 0.73064
val Loss: 0.009267846122384071 	Acc: 0.7993

train Loss: 0.012491567060351372 	Acc: 0.73068
val Loss: 0.009108379483222961 	Acc: 0.8046

train Loss: 0.012411965057253838 	Acc: 0.73166
val Loss: 0.009101935662329197 	Acc: 0.8047

train Loss: 0.0122060626745224 	Acc: 0.7374
val Loss: 0.008983775041997433 	Acc: 0.8062

train Loss: 0.012059732340276241 	Acc: 0.74274
val Loss: 0.008933392353355885 	Acc: 0.8073

train Loss: 0.012042997404932976 	Acc: 0.74246
val Loss: 0.0088847940787673 	Acc: 0.8086

train Loss: 0.011975639499723911 	Acc: 0.74136
val Loss: 0.008974744006991386 	Acc: 0.8067

train Loss: 0.01197840180248022 	Acc: 0.74294
val Loss: 0.008903920650482178 	Acc: 0.8076

train Loss: 0.011771568097174168 	Acc: 0.74714
val Loss: 0.008900539018213749 	Acc: 0.8078

train Loss: 0.011628109030425549 	Acc: 0.75006
val Loss: 0.008715550415217876 	Acc: 0.8138

train Loss: 0.011439201422035694 	Acc: 0.75266
val Loss: 0.008636759594082832 	Acc: 0.8127

train Loss: 0.011490187607705593 	Acc: 0.75372
val Loss: 0.00859983079135418 	Acc: 0.816

train Loss: 0.011436172761023045 	Acc: 0.75266
val Loss: 0.008618039079010487 	Acc: 0.815

train Loss: 0.011483876965939999 	Acc: 0.7546
val Loss: 0.008634292520582676 	Acc: 0.8115

train Loss: 0.011351460590958595 	Acc: 0.7561
val Loss: 0.008523929864168167 	Acc: 0.8142

train Loss: 0.011305361054837704 	Acc: 0.75346
val Loss: 0.008637416176497936 	Acc: 0.8171

train Loss: 0.011170060373842716 	Acc: 0.76188
val Loss: 0.00845591351389885 	Acc: 0.8145

train Loss: 0.01105937547981739 	Acc: 0.76316
val Loss: 0.00841474812477827 	Acc: 0.818

train Loss: 0.010858776979148388 	Acc: 0.76676
val Loss: 0.008263437077403069 	Acc: 0.8221

train Loss: 0.01061249990016222 	Acc: 0.77068
val Loss: 0.008250956423580647 	Acc: 0.8205

train Loss: 0.010589055716991425 	Acc: 0.77444
val Loss: 0.008203456178307533 	Acc: 0.8206

train Loss: 0.010545163415372372 	Acc: 0.77412
val Loss: 0.008306609466671944 	Acc: 0.8192

train Loss: 0.010514833964407444 	Acc: 0.77372
val Loss: 0.008053590543568134 	Acc: 0.825

train Loss: 0.010429286397993565 	Acc: 0.77578
val Loss: 0.008195720613002777 	Acc: 0.8234

train Loss: 0.010310427285730839 	Acc: 0.77654
val Loss: 0.0082768639549613 	Acc: 0.8232

train Loss: 0.010312538594007492 	Acc: 0.7764
val Loss: 0.008142570033669472 	Acc: 0.8248

train Loss: 0.010295572690665722 	Acc: 0.7768
val Loss: 0.008284935727715492 	Acc: 0.8201

train Loss: 0.01022990420460701 	Acc: 0.77806
val Loss: 0.008157886564731598 	Acc: 0.8242

train Loss: 0.010220118798315525 	Acc: 0.77978
val Loss: 0.008289843797683716 	Acc: 0.8231

train Loss: 0.010140281170606613 	Acc: 0.78078
val Loss: 0.008112671785056591 	Acc: 0.8259

train Loss: 0.010124165564775467 	Acc: 0.78072
val Loss: 0.00813076738268137 	Acc: 0.8267

train Loss: 0.010046820156276226 	Acc: 0.78294
val Loss: 0.00825748685747385 	Acc: 0.8249

train Loss: 0.010144461877644062 	Acc: 0.7803
val Loss: 0.008164985105395317 	Acc: 0.8249

train Loss: 0.010016304440796375 	Acc: 0.7835
val Loss: 0.008008674718439579 	Acc: 0.8266

train Loss: 0.00989860575646162 	Acc: 0.78548
val Loss: 0.008047062903642654 	Acc: 0.8274

train Loss: 0.009933761321008205 	Acc: 0.7848
val Loss: 0.007916628383100033 	Acc: 0.8306

train Loss: 0.009859493933618069 	Acc: 0.788
val Loss: 0.007963476702570915 	Acc: 0.8283

train Loss: 0.009903197176754475 	Acc: 0.78526
val Loss: 0.008012440986931324 	Acc: 0.8286

train Loss: 0.009820418432354927 	Acc: 0.78874
val Loss: 0.007931970059871674 	Acc: 0.8303

train Loss: 0.009784297086298466 	Acc: 0.7882
val Loss: 0.007873715832829475 	Acc: 0.8305

train Loss: 0.009743613190948963 	Acc: 0.79036
val Loss: 0.007938769645988941 	Acc: 0.8294

train Loss: 0.009843260981142521 	Acc: 0.7883
val Loss: 0.007966653443872929 	Acc: 0.8299

train Loss: 0.009654240682721138 	Acc: 0.79164
val Loss: 0.00799747183918953 	Acc: 0.8285

train Loss: 0.00974265206605196 	Acc: 0.79146
val Loss: 0.007912389002740383 	Acc: 0.8302

train Loss: 0.009694756008684635 	Acc: 0.7886
val Loss: 0.0079137422144413 	Acc: 0.8283

train Loss: 0.009639947675168514 	Acc: 0.79024
val Loss: 0.007817652076482773 	Acc: 0.8326

train Loss: 0.00948965921998024 	Acc: 0.79384
val Loss: 0.007850626483559608 	Acc: 0.8304

train Loss: 0.00955887883901596 	Acc: 0.7913
val Loss: 0.007838184013962746 	Acc: 0.8312

train Loss: 0.009523171000182629 	Acc: 0.79532
val Loss: 0.007820647209882736 	Acc: 0.8331

train Loss: 0.009448107331991196 	Acc: 0.7951
val Loss: 0.007925469428300858 	Acc: 0.8297

train Loss: 0.009409467689692974 	Acc: 0.79804
val Loss: 0.00845761876553297 	Acc: 0.8215

train Loss: 0.00955277867615223 	Acc: 0.79334
val Loss: 0.007915426045656204 	Acc: 0.8293

train Loss: 0.009391522035002708 	Acc: 0.79596
val Loss: 0.007904631085693836 	Acc: 0.8317

train Loss: 0.009372672997415066 	Acc: 0.79672
val Loss: 0.007836895994842052 	Acc: 0.8296

train Loss: 0.009480340406298637 	Acc: 0.79676
val Loss: 0.007801487576216459 	Acc: 0.8301

train Loss: 0.00927546713501215 	Acc: 0.79802
val Loss: 0.007899110205471516 	Acc: 0.8342

train Loss: 0.009183553978800774 	Acc: 0.8026
val Loss: 0.007975425571203232 	Acc: 0.8311

train Loss: 0.009264933876693249 	Acc: 0.80022
val Loss: 0.007764364592730999 	Acc: 0.8367

train Loss: 0.0093496423214674 	Acc: 0.7983
val Loss: 0.007859704084694386 	Acc: 0.8322

train Loss: 0.009185959585011005 	Acc: 0.80274
val Loss: 0.007742615416646004 	Acc: 0.834

train Loss: 0.009283515624701977 	Acc: 0.7994
val Loss: 0.0078035565093159676 	Acc: 0.8323

train Loss: 0.009161373600363731 	Acc: 0.80166
val Loss: 0.007706552743911743 	Acc: 0.8343

train Loss: 0.00913015753030777 	Acc: 0.8003
val Loss: 0.007729572243988514 	Acc: 0.8339

train Loss: 0.00911642611026764 	Acc: 0.80316
val Loss: 0.007779920939356089 	Acc: 0.8336

train Loss: 0.009172896854579449 	Acc: 0.80142
val Loss: 0.0078073651529848576 	Acc: 0.8354

train Loss: 0.00904720276594162 	Acc: 0.8052
val Loss: 0.0077023799531161785 	Acc: 0.8363

train Loss: 0.009088054299354553 	Acc: 0.80248
val Loss: 0.0077559566125273705 	Acc: 0.8345

train Loss: 0.009102551266551018 	Acc: 0.80206
val Loss: 0.007711129728704691 	Acc: 0.8316

Best val Acc: 0.836700
